,av_num,title,upload_time,author,view,num_danmaku,reply,favorite,coin,share,like,tags
85,41274141,模拟电子学基础【68集】(张建秋：复旦大学),2019-01-21,York1996,4098,13,6,310,17,14,61,"[反馈, 直流稳压电源, 电路分析基础, 半导体器件, 集成放大器, 数字电路入门, Bridge Circuits, 信号处理电路, 晶体管放大器, 模拟电子学基础]"
116,27596965,【复旦大学/黄宣国】解析几何,2018-07-24,博格司马,4699,90,11,307,14,21,32,[搬运工也想要硬币]
123,31111019,【网络课程】计算机网络与网页制作(2016版)_复旦大学计算机应用能力水平测试(FCT)_复旦大学&高校邦,2018-09-05,JD之友,3301,5,8,287,12,24,19,"[考试, 课程, 计算机, 教育, 公开课, 复旦大学, Dreamweaver, FCT, 计算机网络与网页制作, 复旦大学计算机应用能力水平测试]"
141,20890257,【物理化学】复旦大学 范康年教授 教学视频（含结构化学）,2018-03-17,Bourne_C,3322,4,13,276,19,16,16,"[化学, 物理化学, 考研, 复旦, 结构化学]"
4,45674800,【数学专业课】高等代数学-复旦大学-谢启鸿-高清,2019-03-08,不开花的黑玫瑰,4275,4,9,275,43,7,48,"[数学, 教育, 课程, 学习, 校园vlog, 公开课, 高等代数]"
75,40593788,半导体器件物理-高清-复旦大学蒋玉龙老师,2019-01-13,起了个好听的名字,5694,24,5,273,50,23,49,"[考试, 学习, 视频教程, 课程, 考研, 教育]"
105,40293084,管理信息系统【85集】(黄丽华：复旦大学),2019-01-09,York1996,3062,3,3,265,11,6,26,"[云计算, 电子商务, 客户关系管理, 供应链管理, 从企业看管理信息系统, 通讯计算机网络与无线技术, 信息系统的价值, 信息系统开发, 信息管理安全, ERP系统]"
122,36840057,《金瓶梅》研究 复旦大学公开课（全34集）,2018-11-27,人文学科名师讲坛,2231,1,1,249,3,5,14,"[考研, 学习, 文学, 读书]"
104,40349207,半导体器件原理【85集】(蒋玉龙：复旦大学),2019-01-10,York1996,3127,33,11,235,6,11,33,"[MOSFET的基本特性, pn结的频率特性与开关特性, 半导体器件原理 绪论, 双极型晶体管, 小尺寸MOSFET的特性]"
113,38128875,原子物理学【52集】(封东来：复旦大学),2018-12-14,York1996,2861,10,11,214,10,15,36,"[量子力学, 波尔模型, 泡利原理, 多电子原子, 卢瑟福模型, 电子自旋]"
112,38492014,物理化学【87集】(范康年：复旦大学),2018-12-19,York1996,2717,1,6,212,12,6,25,"[固态, 分子间相互作用, 多原子分子结构, 共价键理论和双原子分子结构, 原子结构和原子光谱, 分子对称性和点群, 量子力学基础]"
111,40928594,西方马克思主义前沿问题研究【62集】(陈学明：复旦大学),2019-01-17,York1996,1830,7,8,210,11,14,22,[是]
103,41026983,中国法制史【71集】(郭建：复旦大学),2019-01-18,York1996,3418,6,0,195,6,8,18,"[春秋战国的法制, 隋唐五代的法制, 辽、金、西夏、元朝的法制, 中华民国时期的法制]"
44,58536353,复旦大学公开课——电动力学,2019-07-10,third_eye,729,0,1,183,11,3,17,"[物理, 课程, 公开课, 大学物理]"
124,23888207,半导体物理 蒋玉龙 复旦大学（私信up主领取ppt课件）,2018-05-25,云墨一点,5173,10,6,181,13,27,22,"[课程, 考研, 考试, 学习, 教育, 半导体物理, 复旦大学, 蒋玉龙, 半导体器件, 微电子器件]"
136,40267795,科学哲学【61集】(张志林：复旦大学),2019-01-09,York1996,1105,2,0,163,5,5,19,"[教学简纲, 科学与可证实性, 基于贝叶斯定理的科学方法论, 科学哲学的魅力, 科学研究纲领方法论, 范式与科学共同体, 科学与可否证性, 科学中的观察和实验]"
80,50966098,电动力学 周磊 复旦大学-HD,2019-04-30,时间众筹与转化,1730,8,7,151,30,6,30,"[物理, 公开课, 大学物理]"
121,44444497,信息经济学【53集】(陈钊：复旦大学),2019-02-23,York1996,1136,2,3,147,9,6,23,"[机制设计, 道德风险, 信息经济学, 信号发送与信息甄别, 不可验证性与机制设计, 企业内部激励机制, 信息经济学概述, 逆向选择, 不可验证性]"
139,33262401,复旦大学 高等有机化学 80讲,2018-10-06,宣大侠在此,2359,6,2,139,7,11,21,[化学]
91,53478774,【复旦大学】国际商务管理（全63讲）,2019-05-25,白稚卿,829,0,1,132,2,3,29,"[国际商务, 商务管理]"
138,33491661,【复旦大学】管理信息系统（全14讲）,2018-10-09,白稚卿,2449,1,2,125,1,9,9,"[管理系统, 信息系统]"
49,58366993,复旦大学西方哲学史 61讲  佘碧平主讲,2019-07-08,绝望中年人,315,0,3,122,12,1,24,"[教育, 学习, 课程, 公开课]"
134,45384832,《论语》《孟子》选读【48集】(白彤东：复旦大学),2019-03-05,York1996,1068,3,1,111,4,4,8,"[儒家, 能近取譬, 仁与知的关系, 仁与天、命的关系, 平等与等级的关系, 儒家政治思想, 仁的概念, 品读哲学经典的态度, 孔子与《论语》介绍]"
120,49961942,复旦大学公开课系列004: 物理化学 范康年 全183讲（2）,2019-04-21,蓝天手机,796,0,0,106,7,3,12,"[化学, 科学, 物理, 物理化学, 公开课, 复旦大学, 科研, 复旦, 理科, 创新]"
137,39991821,整数规划【35集】(孙小玲：复旦大学),2019-01-05,York1996,1564,5,9,103,7,3,22,"[Dynamic programming, Branch-and-Bound Met, Totally Unimodular M, Duality Theory, Integer programing m, Cutting Plane Method, Computational Comple, SDP relaxtion for 0-]"
132,48223196,【中英文字幕】网络游戏设计与开发  （复旦大学&上海戏剧学院）,2019-04-04,逆风微笑的代码狗,719,0,2,102,9,6,32,"[演讲, 教育, 考试, 学习, 讲座, 编程]"
133,47485845,复旦大学 政治经济学 全63讲 主讲-张晖明 视频教程,2019-03-27,如我所示,713,0,0,98,0,1,7,"[演讲, 讲座, 教育, 学习, 公开课, 线上课堂]"
135,45349779,抽象艺术学【51集】(许德民：复旦大学),2019-03-04,York1996,1222,7,1,85,4,6,11,"[你幸福吗？, 西方当代抽象艺术, 抽象艺术的价值标准, 抽象艺术历史论, 世界架上抽象艺术历史, 中国当代抽象艺术, 抽象艺术摄影, 抽象艺术作品欣赏, 抽象艺术本体论, 西方抽象艺术思想史]"
79,56604144,量子力学-63讲-复旦大学  苏汝铿,2019-06-23,third_eye,406,0,2,84,3,2,12,"[课程, 量子力学, 教育, 物理, 公开课, 复旦大学]"
131,49947459,复旦大学公开课系列002: 国际金融 殷醒民 全58讲,2019-04-20,蓝天手机,474,0,0,75,2,0,7,"[经济学, 金融, 公开课, 银行, 国际贸易, 国际, 金融学, 复旦大学, 国际金融, 银行学]"
78,56614304,高等量子力学-选学-44讲-复旦大学  苏汝铿,2019-06-23,third_eye,337,0,4,73,10,1,15,"[教育, 物理, 量子力学, 公开课, 复旦大学]"
130,49976377,复旦大学公开课系列009: 数据结构C++ 王宇君 全41讲,2019-04-21,蓝天手机,656,1,0,58,1,0,2,"[计算机, 算法, C语言, C++, 公开课, 编程, 复旦, 复旦大学, 数据结构, 程序猿]"
90,57155238,复旦大学公开课——热力学与统计物体学,2019-06-28,third_eye,170,0,0,54,7,1,7,"[课程, 公开课]"
74,58353266,复旦大学 张敬海主讲-数字逻辑基础（全 57讲）,2019-07-08,澜斯洛特,197,0,1,29,6,2,13,"[教育, 学习, 课程, 公开课, 数字电路基础, 复旦大学, 线上课堂]"
119,57517493,复旦大学公开课——热力学与统计物体学,2019-07-02,third_eye,80,0,0,27,1,2,5,"[大学, 公开课]"
98,58944956,复旦大学公开课——热力学与统计物体学,2019-07-13,third_eye,63,0,0,18,0,1,4,"[学习, 大学, 公开课]"
102,58260198,数学分析复旦（王坤杨）,2019-07-08,辣椒茄子土豆,186,0,0,14,0,2,2,[数学]
